                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 0.9448,                0.69745,                 1.1566,                0.77797,                0.85714,                0.84619,                0.47498,                 1.7797,                 1.1571,                 1.4393,              0.0014852,              0.0014852,              0.0014852
                     80,                0.94967,                0.67259,                 1.1224,                0.81832,                0.85796,                 0.9066,                0.55788,                 1.4813,                0.89593,                 1.2774,              0.0014786,              0.0014786,              0.0014786
                     81,                0.93714,                0.68031,                 1.1337,                0.85051,                0.81294,                0.89511,                0.59158,                  1.371,                0.87424,                 1.1887,               0.001472,               0.001472,               0.001472
                     82,                0.94833,                0.69858,                 1.1337,                0.98799,                0.80952,                0.88488,                0.57552,                 1.4717,                 1.0943,                 1.2395,              0.0014654,              0.0014654,              0.0014654
                     83,                 0.9082,                0.69926,                 1.1269,                0.79681,                0.80952,                0.85618,                0.54373,                 1.6302,                 1.1212,                 1.4265,              0.0014588,              0.0014588,              0.0014588
                     84,                0.93493,                0.68147,                 1.1304,                0.79408,                0.90476,                0.85772,                0.54496,                 1.5597,                 1.1305,                 1.3201,              0.0014522,              0.0014522,              0.0014522
                     85,                0.91888,                0.69595,                 1.1321,                0.78519,                0.90476,                0.83288,                0.53009,                 1.5432,                 1.1263,                 1.3143,              0.0014456,              0.0014456,              0.0014456
                     86,                0.96944,                0.72924,                 1.1322,                 0.8472,                 0.7619,                0.84466,                0.53047,                 1.6569,                 1.1129,                 1.4192,               0.001439,               0.001439,               0.001439
                     87,                0.94288,                 0.7049,                 1.1379,                0.80918,                0.80952,                   0.81,                0.58555,                  1.426,                 1.1189,                 1.2369,              0.0014324,              0.0014324,              0.0014324
                     88,                 0.9757,                0.70402,                  1.143,                0.88212,                0.85714,                0.91275,                 0.5779,                 1.4804,                0.90573,                 1.2109,              0.0014258,              0.0014258,              0.0014258
                     89,                0.96876,                0.71158,                 1.1554,                  0.883,                0.80952,                0.88189,                0.57619,                 1.4422,                 1.0867,                 1.2501,              0.0014192,              0.0014192,              0.0014192
                     90,                0.89884,                0.65855,                 1.1126,                0.88564,                 0.7382,                0.86494,                 0.5782,                 1.4858,                 1.0189,                 1.3238,              0.0014126,              0.0014126,              0.0014126
                     91,                0.89641,                0.67691,                 1.1259,                0.71711,                 0.7619,                0.76381,                0.51721,                 1.5583,                 1.0764,                 1.3848,               0.001406,               0.001406,               0.001406
                     92,                0.93258,                 0.6953,                 1.1202,                0.68755,                0.85714,                0.83462,                0.52184,                 1.6233,                 1.1724,                 1.3632,              0.0013994,              0.0013994,              0.0013994
                     93,                 0.9105,                0.68463,                 1.1259,                0.87744,                0.85714,                0.87426,                0.51362,                 1.5845,                 1.1788,                 1.4147,              0.0013928,              0.0013928,              0.0013928
                     94,                 0.9241,                0.69736,                 1.1242,                0.87529,                0.80952,                0.87054,                0.48335,                 1.6746,                 1.2447,                 1.5002,              0.0013862,              0.0013862,              0.0013862
                     95,                0.89561,                0.63254,                 1.0921,                0.89447,                 0.7619,                0.83839,                0.49792,                 1.4254,                 1.3225,                 1.3398,              0.0013796,              0.0013796,              0.0013796
                     96,                0.86748,                0.63049,                 1.0886,                0.79092,                0.80952,                0.81892,                0.53752,                 1.5062,                 1.2082,                 1.3413,               0.001373,               0.001373,               0.001373
                     97,                0.88811,                0.66975,                 1.1108,                0.86431,                 0.7619,                0.80177,                0.51228,                 1.5271,                 1.1939,                 1.3724,              0.0013664,              0.0013664,              0.0013664
                     98,                0.92114,                0.65208,                 1.1138,                0.66601,                0.75975,                0.74298,                0.50666,                 1.3159,                  1.129,                 1.2438,              0.0013598,              0.0013598,              0.0013598
                     99,                0.90254,                0.63617,                 1.1151,                0.69973,                0.80952,                 0.7935,                0.52152,                 1.3937,                 1.3214,                 1.2717,              0.0013532,              0.0013532,              0.0013532
                    100,                0.88719,                0.65373,                 1.1123,                0.83612,                0.80952,                0.82068,                0.54789,                 1.4739,                 1.3771,                 1.2498,              0.0013466,              0.0013466,              0.0013466
                    101,                0.91884,                0.64545,                 1.1159,                 0.9817,                0.80952,                0.83711,                 0.5737,                 1.3635,                 1.3538,                 1.2342,                0.00134,                0.00134,                0.00134
                    102,                0.93843,                0.67363,                 1.1543,                0.96785,                0.80952,                0.85218,                0.53631,                  1.328,                 1.4079,                 1.2846,              0.0013334,              0.0013334,              0.0013334
